name,address,experience,skills,sal_from,sal_to
Data Scientist,Казань,От 3 до 6 лет,Python,55000,85000
Data Scientist (LLM),Екатеринбург,От 1 года до 3 лет,"NLP, Python, ML, PyTorch, REST, LLM",200000,300000
AI Engineer,Московская область,От 3 до 6 лет,"NLP, Computer Vision, Python, LLM",100000,150000
Аналитик-разработчик,Москва,От 3 до 6 лет,"Python, LLM, Speech",270000,300000
Data engineer,Москва,От 1 года до 3 лет,"SQL на профессиональном уровне, включая оптимизацию запросов Опыт интеграции систем, загрузки и трансформации данных (ETL) Опыт работы с качеством данных (очистка данных, процедуры Data Quality) Знание принципов работы BI-систем, построения аналитических панелей Профессиональный пользователь Excel (сводные таблицы, формулы, ВПР Базовые знания) принципов построения системной архитектуры, архитектуры данных, работы с базами данных Опыт настройки взаимодействия систем (REST API, ODBC/JDBC) Желателен опыт работы с любым BI - Qlik, Tableau, Power BI, NiFi и/или Airflow/DBT, навыки работы с Python",100000,150000
Data Scientist,Тюмень,От 1 года до 3 лет,"sklearn, scipy, pytorch, Git, Docker",55000,105000
Лидер команды (разработка моделей для малого бизнеса),Москва,От 3 до 6 лет,"Управление командой, SQL, Python, Моделирование, Data science",150000,200000
Data scientist (Анализ ГИС данных),Екатеринбург,От 3 до 6 лет,ArcGIS QGIS Git/Gitlab Python пространственные базы данных Agile,100000,110000
Дата аналитик (Data Scientist),Томск,От 1 года до 3 лет,"опыт работы с задачами машинного обучения/ опыт статистической обработки данных от 1,5 лет;   опыт разработки на Python, опыт code review;   опыт работы с библиотеками для анализа данных: pandas, matplotlib, numpy, sklearn;   уверенные навыки использования Linux, Jupyter notebook, git, SQL;   знание основных моделей машинного обучения: градиентный бустинг на основе деревьев решений, логистическая регрессия с регуляризацией, метод ближайших соседей",130000,200000
Аналитик данных / Data analyst,Сочи,От 3 до 6 лет,"Power BI, СУБД, SQL, DataLens, Базы данных, Аналитическое мышление, Сбор и анализ информации, Анализ данных, Python",180000,230000
